Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,YESBANK,EQ,750.25,752.4,756.6,736.9,743.25,743.1,744.88,2644421,196978477925000.0,57551,520090,0.1967
2015-10-07,YESBANK,EQ,743.1,743.1,745.65,733.6,735.15,735.75,738.3,2485788,183525499800000.0,55102,526204,0.21170000000000003
2015-10-08,YESBANK,EQ,735.75,733.0,735.5,720.45,725.35,727.35,727.73,2761350,200951681455000.0,61656,827971,0.2998
2015-10-09,YESBANK,EQ,727.35,733.3,741.9,720.1,725.0,725.65,731.42,2676181,195741318490000.0,59442,610605,0.22820000000000001
2015-10-12,YESBANK,EQ,725.65,729.3,736.5,720.6,724.1,723.75,728.6,2329517,169728551000000.0,63550,665550,0.2857
2015-10-13,YESBANK,EQ,723.75,725.9,736.1,724.0,733.8,733.8,731.67,3022456,221144533600000.0,64521,848469,0.2807
2015-10-14,YESBANK,EQ,733.8,733.0,742.6,730.0,739.0,738.7,738.31,1934281,142809239810000.0,50599,563747,0.2915
2015-10-15,YESBANK,EQ,738.7,742.0,761.1,742.0,758.5,759.15,756.03,3951155,298719199895000.0,104779,1767834,0.4474
2015-10-16,YESBANK,EQ,759.15,760.0,774.7,752.25,773.55,773.2,762.32,3243650,247269393665000.0,82426,1234167,0.3805
2015-10-19,YESBANK,EQ,773.2,772.85,775.95,766.1,771.5,770.45,770.35,1877471,144630798760000.0,44975,533546,0.2842
2015-10-20,YESBANK,EQ,770.45,770.9,778.7,761.35,770.0,770.1,771.29,2724244,210117065030000.0,51432,844653,0.31010000000000004
2015-10-21,YESBANK,EQ,770.1,770.0,775.4,757.0,763.85,765.3,766.4,1886508,144581891945000.0,44424,365764,0.19390000000000002
2015-10-23,YESBANK,EQ,765.3,772.6,780.0,764.0,769.3,771.15,771.4,2474290,190867479605000.0,78053,1180065,0.4769
2015-10-26,YESBANK,EQ,771.15,774.0,776.0,743.6,745.4,746.2,755.7,2263140,171024411165000.0,58992,731888,0.3234
2015-10-27,YESBANK,EQ,746.2,746.0,756.3,742.0,750.35,751.3,749.43,2730989,204667341625000.0,99235,1182558,0.433
2015-10-28,YESBANK,EQ,751.3,741.0,748.45,716.8,728.75,727.65,732.71,4021169,294635156015000.0,110077,1738872,0.4324
2015-10-29,YESBANK,EQ,727.65,729.9,747.6,707.75,744.0,743.6,734.07,11994807,880501234875000.0,229812,2453749,0.2046
2015-10-30,YESBANK,EQ,743.6,749.9,765.65,744.0,755.6,758.65,759.15,4009751,304398882155000.0,91586,1063500,0.2652
2015-11-02,YESBANK,EQ,758.65,755.2,773.5,752.4,772.95,772.0,763.7,2661648,203269992750000.0,85107,794954,0.2987
2015-11-03,YESBANK,EQ,772.0,775.4,781.5,766.5,779.0,779.3,774.73,3031232,234838825755000.03,84646,1280089,0.42229999999999995
2015-11-04,YESBANK,EQ,779.3,784.0,790.0,780.2,782.9,783.75,786.05,2479134,194871354465000.0,68739,1002614,0.4044
2015-11-05,YESBANK,EQ,783.75,780.0,780.5,759.1,763.3,762.0,769.38,2421001,186266167515000.0,53680,787435,0.32530000000000003
2015-11-06,YESBANK,EQ,762.0,762.2,773.7,750.0,766.0,758.45,758.49,2568352,194806217715000.0,54071,927419,0.3611
2015-11-09,YESBANK,EQ,758.45,744.0,768.2,735.3,761.0,761.95,751.27,3939391,295953520485000.0,95398,1779557,0.45170000000000005
2015-11-10,YESBANK,EQ,761.95,755.15,766.5,737.1,741.0,739.65,749.23,2396140,179526646685000.0,62280,714641,0.2982
2015-11-11,YESBANK,EQ,739.65,750.0,760.0,750.0,757.5,756.3,756.07,704434,53260138920000.0,10686,213631,0.3033
2015-11-13,YESBANK,EQ,756.3,753.5,757.5,733.5,739.0,738.1,744.45,3929550,292534501535000.0,74666,1876676,0.47759999999999997
2015-11-16,YESBANK,EQ,738.1,736.0,753.0,735.1,751.55,750.95,746.42,2554592,190679943095000.0,50445,818360,0.32030000000000003
2015-11-17,YESBANK,EQ,750.95,756.4,757.4,737.0,745.2,745.65,746.31,3085492,230274554325000.0,67904,1314584,0.4261
2015-11-18,YESBANK,EQ,745.65,745.65,751.0,720.2,721.9,723.05,736.17,2699093,198699868270000.0,69686,676483,0.2506
2015-11-19,YESBANK,EQ,723.05,728.5,734.9,724.1,733.0,733.4,730.15,3323724,242681136580000.03,96330,1483842,0.4464
2015-11-20,YESBANK,EQ,733.4,733.35,741.6,725.1,731.55,731.2,734.25,2613791,191916558800000.0,74297,625347,0.23920000000000002
2015-11-23,YESBANK,EQ,731.2,734.0,744.75,732.1,741.05,740.65,739.43,2244644,165976565415000.0,72607,733083,0.32659999999999995
2015-11-24,YESBANK,EQ,740.65,740.0,748.2,737.9,743.0,744.15,744.27,2499734,186047168190000.0,67614,1254894,0.502
2015-11-26,YESBANK,EQ,744.15,746.95,754.0,745.2,748.9,749.8,749.97,2968211,222608013165000.0,85051,1326309,0.44680000000000003
2015-11-27,YESBANK,EQ,749.8,751.0,769.7,748.85,761.45,762.7,761.3,2492904,189783728860000.0,61371,667606,0.26780000000000004
2015-11-30,YESBANK,EQ,762.7,762.0,771.0,762.0,767.0,768.2,767.99,2217444,170296871960000.0,64733,1070430,0.4827
2015-12-01,YESBANK,EQ,768.2,770.0,772.0,758.7,759.75,760.2,763.29,2097194,160075861680000.0,61135,663342,0.31629999999999997
2015-12-02,YESBANK,EQ,760.2,762.2,763.7,748.0,750.5,750.65,753.43,1847246,139177974680000.0,60904,708161,0.3834
2015-12-03,YESBANK,EQ,750.65,745.0,758.9,745.0,751.0,752.05,754.79,2132505,160959223180000.0,51550,857600,0.4022
